,Leukemia,Colon/Colorectal Cancer,Bladder Cancer,Lung Cancer,Ovarian Cancer,Skin Cancer,Breast Cancer,Pancreatic Cancer,Brain Cancer,Lymphoma,Kidney Cancer,Sarcoma,Bone Cancer,Gastric Cancer,Neuroblastoma,Rhabdoid,Prostate Cancer,Fibroblast,Gallbladder Cancer,Thyroid Cancer,Bile Duct Cancer,Head and Neck Cancer,Myeloma,Liver Cancer,Endometrial/Uterine Cancer,Esophageal Cancer,Cervical Cancer,Eye Cancer
ABCG5 (64240),7407.0,9015.5,8816.0,7211.0,7109.0,8391.5,7393.0,7145.5,7379.0,7273.0,8357.5,7820.0,7798.0,7296.5,8122.0,6939.5,252.0,5588.0,9174.0,6534.0,8818.0,8835.5,5905.0,7537.5,8467.0,7202.5,6847.5,8161.0
ABCG8 (64241),7328.0,5848.0,8297.0,7113.5,6410.0,6901.5,6752.0,6599.0,7759.5,7114.0,5688.0,7240.0,5077.0,7445.5,5543.5,6578.0,5702.0,5480.0,7169.0,6142.5,7907.0,6640.5,7820.0,7450.0,6279.0,7875.0,4087.0,7400.0
ABHD1 (84696),6541.0,8630.0,7564.0,7222.0,6885.0,8449.0,7070.0,5442.0,6939.5,6177.0,7529.5,6579.0,6692.0,6729.0,8126.0,6577.0,8275.0,8825.0,5241.0,2781.5,10547.0,7742.5,7474.5,8412.0,6408.5,6717.0,8716.0,8514.0
ABHD10 (55347),3762.0,8595.5,6756.0,6530.0,5023.0,6003.0,4313.0,7472.5,5551.5,6116.0,7005.0,5333.5,5161.0,4532.0,3482.0,6045.0,2029.0,12815.0,9926.0,1798.5,6747.0,8234.5,7219.0,4913.0,6558.5,5522.5,6413.5,3214.5
ABHD11 (83451),16795.0,16342.5,16600.0,16640.0,16580.0,16668.5,16638.0,16614.0,16533.0,16564.0,16794.5,16657.0,16598.0,16635.5,16454.5,16513.0,15180.0,16420.0,16697.0,16721.5,16507.0,16745.0,16648.5,16585.5,16505.5,16631.0,16418.5,16858.5
ABHD12 (26090),7873.0,8137.5,8037.0,7988.5,7327.0,7183.5,9257.0,7804.5,9277.0,7152.0,6114.5,7850.5,7235.0,7444.5,7415.0,9801.0,1749.0,7727.0,10464.0,8626.5,8370.0,6320.5,8628.5,6195.5,6884.0,6353.5,8072.0,10545.0
ABHD12B (145447),8859.0,9633.5,10916.0,9644.5,10464.0,9021.5,9987.0,10668.5,11358.5,12231.0,10272.5,10028.0,10589.0,8700.5,8420.0,8801.5,9215.0,3011.0,13257.0,11701.5,11818.0,9167.5,8076.0,9996.5,10455.5,10239.0,9893.5,11085.5
ABHD13 (84945),14125.0,14701.5,14803.0,14451.0,14633.0,14171.5,14166.0,14462.5,14787.0,14482.0,14130.0,14922.5,14542.0,15096.5,15702.5,14577.0,16447.0,15647.0,13376.0,14912.0,14436.0,14519.0,14303.5,14706.5,15115.0,14449.0,14553.0,15390.5
ABHD14A (25864),8843.0,9124.0,8021.0,8498.5,8279.0,7898.0,7979.0,9931.5,7416.0,7950.0,9407.5,7601.0,7203.0,8888.0,10522.0,8489.0,12935.0,4698.0,4693.0,9104.0,6827.0,8595.5,6161.5,9848.0,7775.0,8116.5,9104.5,8993.5
ABHD14B (84836),7900.0,9736.5,7455.0,7797.0,7765.0,7850.5,6704.0,8884.5,7186.0,9194.0,7781.0,8895.0,7860.0,5648.0,7668.5,9756.5,11931.0,4644.0,3977.0,6749.5,4093.0,7542.0,6037.0,8522.5,6481.0,8647.5,9879.5,6578.5
ABHD15 (116236),13040.0,13014.5,12032.0,11797.5,12520.0,11657.5,12839.0,12279.5,13525.5,11967.0,12175.0,11296.5,9878.0,12860.5,10790.0,13324.0,16602.0,7647.0,9462.0,10586.0,12997.0,12731.0,13239.5,11900.0,13772.5,12378.5,11495.5,11195.5
ABHD16A (7920),12971.0,11513.5,12323.0,12081.0,13180.0,11919.0,12134.0,11854.5,12034.0,11430.0,11384.0,11183.5,12956.0,11437.0,11575.0,10860.5,15900.0,11001.0,10278.0,14518.5,11409.0,11578.5,12781.5,12218.0,13071.0,12093.5,10285.5,13675.0
ABHD16B (140701),5982.0,7663.0,6229.0,7154.0,7667.0,8603.5,6490.0,7964.0,7160.0,6172.0,7079.5,6855.0,5371.0,8031.0,8360.5,8183.5,15347.0,6934.0,6753.0,3273.5,10405.0,5536.5,4691.5,7793.0,5903.0,7382.0,6342.0,7742.0
