,std,mean,median,max,min
ACTR1B (10120),675.4082658089676,8509.5424,8662.0,10042.0,3817.0
ACTR2 (10097),359.1478924928438,9900.4928,9960.0,10490.0,7601.0
ACTR3 (10096),1262.7422723661834,8031.2624,8376.0,9678.0,820.0
ACTR3C (653857),1717.6808782714813,4932.3728,5083.0,8848.0,105.0
ACTR5 (79913),1882.5488459042397,7440.6704,8111.0,9914.0,65.0
ACTR6 (64431),339.5536324239628,9662.6816,9710.0,10385.0,8143.0
ACTR8 (93973),324.8393371562357,9612.9472,9651.0,10415.0,7991.0
ACTRT1 (139741),1476.2571552609954,1827.6494845360826,4451.0,,
ACVR1B (91),1909.063141928992,3398.584,3203.0,9581.0,8.0
ACVR2A (92),1948.5414870181155,3371.4928,3173.0,8951.0,2.0
ACVR2B (93),1078.9031887416604,709.2896,334.0,8642.0,3.0
ACVRL1 (94),1472.0527356025232,1729.8256,1315.0,8851.0,2.0
ADA2 (51816),1813.269895708317,3145.3488,3028.0,8475.0,69.0
ADAD2 (161931),1837.4402743825653,3371.064,3246.0,8567.0,42.0
ADAM10 (102),2081.1351505085036,2373.3512,1667.0,8701.0,2.0
ADAM11 (4185),1204.8940252899783,7394.8,7682.0,9868.0,478.0
ADAM12 (8038),1873.5075348975645,3683.0256,3508.0,8759.0,70.0
ADAM15 (8751),1798.4431709590467,3071.5312,2841.0,8674.0,91.0
ADAM17 (6868),1629.7658706980912,2148.1264,1698.0,8951.0,3.0
ADAM30 (11085),1780.3434652883336,5572.5904,5839.0,9248.0,134.0
ADAM33 (80332),1778.0807326887534,2936.1104,2712.0,8645.0,29.0
ADAM7 (8756),1624.8965681922887,2993.2192,2813.0,8699.0,92.0
ADAMTS1 (9510),2007.216651903058,3134.6656,2839.0,9167.0,5.0
ADAMTS10 (81794),1694.1791584157374,5850.0048,6169.0,9711.0,357.0
ADAMTS13 (11093),1815.4188139280982,3780.9472,3656.0,8751.0,64.0
ADAMTS17 (170691),1107.0440824567754,1013.6768,695.0,9127.0,11.0
ADAMTS2 (9509),1844.2626146178106,3091.1824,2862.0,9068.0,17.0
ADAMTS7 (11173),1700.0712375240075,6722.2128,7124.0,9590.0,510.0
ADAMTS9 (56999),1300.4007272848924,1470.0544,1032.0,8221.0,34.0
ADAMTSL1 (92949),1725.857575310434,3036.856,2779.0,9054.0,65.0
ADAMTSL2 (9719),1777.9114311937,2392.0832,2000.0,8852.0,8.0
ADAMTSL4 (54507),2012.1594372942488,4463.5712,4423.0,9547.0,86.0
ADAMTSL5 (339366),1944.9656561571387,5522.4752,5830.0,9242.0,175.0
ADAP1 (11033),2062.5322571811625,4611.8432,4601.0,9288.0,295.0
ADAP2 (55803),1752.4865981886335,5767.6096,6065.0,8799.0,705.0
ADAR (103),2531.3421170322945,6741.52,7555.0,10445.0,93.0
