,x,y,measure
271,ACH-001375,ACH-000502,0.7672240229176115
272,ACH-001375,ACH-000517,0.7865928198569178
273,ACH-001375,ACH-000601,0.7864078144048359
274,ACH-001375,ACH-000652,0.6868118269336693
275,ACH-001375,ACH-001353,0.765385809739014
276,ACH-001377,ACH-000022,0.7555138026131489
277,ACH-001377,ACH-000042,0.7493650002710786
278,ACH-001377,ACH-000060,0.7067027407558389
279,ACH-001377,ACH-000085,0.6851441157375561
280,ACH-001377,ACH-000108,0.7325121989778032
281,ACH-001377,ACH-000118,0.7674458741467611
282,ACH-001377,ACH-000138,0.7639606525222209
283,ACH-001377,ACH-000178,0.7782201806323412
284,ACH-001377,ACH-000222,0.6693709893097605
285,ACH-001377,ACH-000235,0.8128219120380779
286,ACH-001377,ACH-000243,0.7783983734089965
287,ACH-001377,ACH-000265,0.7586017246665104
288,ACH-001377,ACH-000266,0.8026067133045759
289,ACH-001377,ACH-000281,0.6814877586862571
290,ACH-001377,ACH-000307,0.7629558678415264
291,ACH-001377,ACH-000320,0.6697739030647111
292,ACH-001377,ACH-000332,0.8030511619144864
293,ACH-001377,ACH-000468,0.7412515194149492
294,ACH-001377,ACH-000502,0.7884322044827387
295,ACH-001377,ACH-000517,0.7920884149072638
296,ACH-001377,ACH-000601,0.8146196389888971
297,ACH-001377,ACH-000652,0.6960423401960819
298,ACH-001377,ACH-001353,0.7688252890086843
299,ACH-001377,ACH-001375,0.7448826182293384
300,ACH-001380,ACH-000022,0.7665198559455454
301,ACH-001380,ACH-000042,0.7679984718550124
302,ACH-001380,ACH-000060,0.7610107439124694
303,ACH-001380,ACH-000085,0.7044416171424809
304,ACH-001380,ACH-000108,0.7624587219957107
305,ACH-001380,ACH-000118,0.7872452720344788
306,ACH-001380,ACH-000138,0.7826733714013749
307,ACH-001380,ACH-000178,0.7990468895474465
308,ACH-001380,ACH-000222,0.6650203577819535
309,ACH-001380,ACH-000235,0.8346402027559349
310,ACH-001380,ACH-000243,0.7857272783795254
311,ACH-001380,ACH-000265,0.779754195695795
312,ACH-001380,ACH-000266,0.8198645671073707
313,ACH-001380,ACH-000281,0.6916715824899567
314,ACH-001380,ACH-000307,0.7965241324282379
315,ACH-001380,ACH-000320,0.6811748701007468
316,ACH-001380,ACH-000332,0.8106233819979053
317,ACH-001380,ACH-000468,0.7479102536115134
318,ACH-001380,ACH-000502,0.7938225885565686
319,ACH-001380,ACH-000517,0.8196738846193201
320,ACH-001380,ACH-000601,0.8335430018582465
321,ACH-001380,ACH-000652,0.7262877324478728
322,ACH-001380,ACH-001353,0.7929930479543296
323,ACH-001380,ACH-001375,0.7543211145733791
324,ACH-001380,ACH-001377,0.7927344456933979
